EmployeeId,AttendanceDate,CheckIn,CheckOut
JEMA,01/06/2017,08:36:25,18:53:01
JEMA,02/06/2017,00:00,00:00
JEMA,03/06/2017,00:00,00:00
JEMA,04/06/2017,00:00,00:00
JEMA,05/06/2017,08:19:59,18:09:57
JEMA,06/06/2017,08:28:34,18:19:41
JEMA,07/06/2017,08:21:55,17:42:09
JEMA,08/06/2017,08:19:37,17:59:10
JEMA,09/06/2017,08:27:59,18:20:13
JEMA,10/06/2017,00:00,00:00
JEMA,11/06/2017,00:00,00:00
JEMA,12/06/2017,08:32:22,18:21:06
JEMA,13/06/2017,08:32:13,18:40:30
JEMA,14/06/2017,08:18:55,17:53:22
JEMA,15/06/2017,08:27:14,18:39:25
JEMA,16/06/2017,08:41:40,00:00
JEMA,17/06/2017,00:00,00:00
JEMA,18/06/2017,00:00,00:00
JEMA,19/06/2017,08:40:15,17:39:49
JEMA,20/06/2017,08:20:00,18:46:13
JEMA,21/06/2017,08:18:13,18:28:21
JEMA,22/06/2017,08:06:21,18:18:09
JEMA,23/06/2017,08:16:26,20:13:19
JEMA,24/06/2017,00:00,00:00
JEMA,25/06/2017,00:00,00:00
JEMA,26/06/2017,00:00,00:00
JEMA,27/06/2017,08:35:14,18:26:40
